address,is_contract,is_eligible,wallet_balance,sablier_claimable,gauge_claimable,auction_claimable,echo_balance,total_calculated_cove_balance
0xc688a50acd33cdcba91760f58290fab20bc11095,false,true,517438.183266498298637448,0,0,0,0,517438.183266498298637448
0x40c31fb3e70289d0e249b3bedadb110559b26a2c,false,true,0,497689.8895547945204265,0,0,0,497689.8895547945204265
0x655e38510af137c7988cbfaa4968cbd3fb7ac13f,false,true,458113.926235010157304171,0,28375.768970342425928881,0,0,486489.695205352583233052
0x45380b6249a1005bec67928af03b8aa8ec4eadcc,true,false,468838.625305725666255702,0,0,0,0,468838.625305725666255702
0x3c927ac5a2356509e956acdfdc8fd90a5942997d,false,true,99901.450913242008933,331793.259703196346951,0,0,0,431694.710616438355884
0xf750c238ce033afc224c2e57d0fcb86e64db0221,true,false,356658.969661420295706155,0,0,0,0,356658.969661420295706155
0xba15e9b644685cb845af18a738abd40c6bcd78ed,false,true,352946.66334087271106174,0,0,0,0,352946.66334087271106174
0x81ee1680cb1cab49933b9523441598f10bf81bf3,false,true,0,331793.259703196346951,0,0,0,331793.259703196346951
0x2bcc065433c608b2e71ea80405e260ca9b40ff65,true,false,306461.647090326903950778,0,0,0,0,306461.647090326903950778
0xdd2a7af04425bef8b77890423b3591c475e21a21,false,true,65148.663048545400219402,0,239605.363351219825228548,0,0,304754.02639976522544795
0xd50550844a08a443f1e1e7d78e4b596054475352,false,true,112980.821061643835517,165896.6298515981734755,0,0,0,278877.4509132420089925
0x7c37d1ca716c4519becc9bc0ceea065c88caf98b,true,false,251056.278406058627832568,0,0,0,0,251056.278406058627832568
0xf39ed30cc51b65392911fea9f33ec1ccceee1ed5,true,true,0,0,0,0,250000,250000
0x9a4cc33f91637b2cfc910979226db9a0a57794e2,true,false,244176.389362767231660744,0,0,0,0,244176.389362767231660744
0x59779a92636a002bdf89fc0b378382b6c14be012,false,true,238023.398786100828307122,0,0,0,0,238023.398786100828307122
0x6b6c51c444fea186e7dab8963730f37faff1db16,true,true,231490.810239843582082485,0,0,0,0,231490.810239843582082485
0x84119e837dbef0f4fb877681687a2869b220533b,false,true,0,0,228975.931501753346529396,0,0,228975.931501753346529396
0x4b0aba5b8501f215c2c13cc7ce4ef857d5a4f67c,false,true,213368.479731640454,0,0,0,0,213368.479731640454
0xd58c63a6920222df6b0b6ab93cf6d4cd65b7c92a,false,true,0,0,0,209203.393426219640014574,0,209203.393426219640014574
0xb5ab290e152290b6bd5bdb04e23236d3f9d4aaec,false,true,203508.962806696896,0,0,0,0,203508.962806696896
0x185f236ad1a5d8c4b115083b2b45de6a6c896ace,false,true,170781.07833022102608771,0,0,0,0,170781.07833022102608771
0x0b552621e280455ce49c9688b4067d6879f2a0a5,false,true,0,165896.6298515981734755,0,0,0,165896.6298515981734755
0xc957ae3159829ce42327b04e908278bec02c31b6,false,true,0,165896.6298515981734755,0,0,0,165896.6298515981734755
0xd056666321700092b032b2571431b2478cd6512e,false,true,0,165896.6298515981734755,0,0,0,165896.6298515981734755
0xda8639c78581e447a41cecbaf1122c73a0148f92,false,true,0,165896.6298515981734755,0,0,0,165896.6298515981734755
0x6792c4bdc1b45efa131ecca985a28ef5c4622e48,false,true,164159.248985887195764387,0,0,0,0,164159.248985887195764387
0xdab3c4241c4dffce092d02a9bd56d95af7279c8f,false,true,0,0,0,156902.545069664730010931,0,156902.545069664730010931
0x5f1f1c81897430f3ec09d829f99f49549dd3b742,false,true,153351.619743890849116301,0,0,0,0,153351.619743890849116301
0xf4b69a6bcd1df132b3918efa816d58aaebd36e83,false,true,146015.677474733262795227,0,0,0,0,146015.677474733262795227
0x8061199a31983a077e691c08b2263a4cf5c24093,false,true,138882.437946278578305984,0,0,0,0,138882.437946278578305984
0xc4a61a87893ca17186bf70194f9605e4e40cccd1,false,true,0,0,0,0,125000,125000
0xeb078b73480913da1600db247478ded62fd0e3c4,true,true,0,0,0,0,125000,125000
0xc3dc65bd20124cd2f3a6ab82aaa123fffbda7f56,false,true,124708.081298931997757144,0,7.815211035492984854,0,0,124715.896509967490741998
0xd33a97de61e09d26937dd8cf5f7fb511b82ddcc6,false,true,124244.798479984636060735,0,0,0,0,124244.798479984636060735
0xa27c737382692be2ac57589fa6a97f672c96361d,false,true,121777.841059584422090325,0,0,0,0,121777.841059584422090325
0xb0f1e67f501ee0d3e7c546c4a0b372bbb5bd3cc7,false,true,113167.394238661508697525,0,0,0,0,113167.394238661508697525
0x62aabd981fc0b1538e16ffb3d47ada4feda9e585,false,true,0,0,0,104601.696713109820007287,0,104601.696713109820007287
0xf173e9d342de933be804c165aa068fa910b9f647,false,true,86586.557298285468540093,0,7212.385950305270242705,0,0,93798.943248590738782798
0x9469dbbce6001c4eef16aeec7cf1d9a539f4cced,false,true,93315.101124759222,0,0,0,0,93315.101124759222
0x6b5b5f2de5fb8ac403c2632a21b55efc4dcc1ed3,false,true,82263.011060323583643829,0,0.788403273838749332,0,0,82263.799463597422393161
0xba55bdbf959df826da6c35487eb15fad2164662d,false,true,75075.266384540356562645,0,0,0,0,75075.266384540356562645
0x92bedada759c60a9bee39c3516ee7885621c3bda,true,true,72670.061989045081285954,0,10.079975903901975617,0,0,72680.141964948983261571
0x8842fe65a7db9bb5de6d50e49af19496da09f9b5,false,true,0,0,70572.573008044295735834,0,0,70572.573008044295735834
0x88c868b1024ecaefdc648eb152e91c57dea984d0,false,true,68279.842342224948979862,0,0,0,0,68279.842342224948979862
0x9e9fca8212355ce0a26d6a96f227750b189efd9a,false,true,172.989408011843462328,0,66930.314653363248264826,0,0,67103.304061375091727154
0x406cbfc2d391bed42078138165465128b4e0cb06,false,true,65899.068929259186604591,0,0,0,0,65899.068929259186604591
0x93291f280270c459c33cebf715a46d1f65c2c937,true,true,64580.838096175049002782,0,0,0,0,64580.838096175049002782
0x4e69d3b01a5693dbff8dc0ad340ebf816b38d162,true,false,64552.252593976852057565,0,0,0,0,64552.252593976852057565
0x8c1938750caf4b1f9f97174a6228eae705148d5e,false,true,63268.343168804085872309,0,0,0,0,63268.343168804085872309
0x8998a2a3bb4df7cc54b6c4e662966012afa36e46,false,true,62911.867381116537134205,0,0,0,0,62911.867381116537134205
0x8ba60b93055713b86a952102239d894de4b85ab9,false,true,55278.88332154468,0,0,0,0,55278.88332154468
0x86af119665d4fb173ae9d8b6e326a99276d85baf,false,true,54746.559395577421318202,0,0,0,0,54746.559395577421318202
0xb8b9e3097c8b1dddf9c5ea9d48a7ebeaf09d67d2,false,true,52265.649150496022469644,0,1360.348345316091721218,0,0,53625.997495812114190862
0x1b77716e3b3b08e013ec153e5611b703f83856a5,false,true,52986.291627784984450809,0,2.630226592336519676,0,0,52988.921854377320970485
0x1d0b43e7b1ecaa0d5c0d9520e68b2f61a498d53e,false,true,51651.9310550029,0,0,0,0,51651.9310550029
0x9a0daf9b27e4e03278d15fd086c7796c1bec62d6,false,true,46484.258431860713625685,0,0,0,0,46484.258431860713625685
0x142b9ccd60ec7a0da58b1e7ba1a09d6f939cf9bd,false,true,46125.079114270665756138,0,0,0,0,46125.079114270665756138
0x4a343e8adc02f4258953100e8b1a4097fac96115,false,true,45146.488914681282,0,0,0,0,45146.488914681282
0xa0716819129f9aa6bacd8b00764413eaf1912646,false,true,10791.844859414320200913,0,33113.969241148487399058,0,0,43905.814100562807599971
0xf4b40b20572d117ead7b5ca3c7eff7d3cbdc4067,false,true,43903.142119014057326784,0,0,0,0,43903.142119014057326784
